timestamps,TP9,AF7,AF8,TP10,Right AUX
1866.719,-453.125,-148.926,-17.578,7.812,-227.539
1866.723,-56.641,-106.934,-6.836,5.859,-37.109
1866.727,-247.559,-52.734,-13.672,-47.363,-48.34
1866.731,-684.57,-131.348,-32.227,-89.844,-143.066
1866.735,-570.801,-211.426,-31.738,-56.152,-34.668
1866.739,-122.559,-216.797,-17.578,8.301,176.758
1866.743,-125.488,51.27,-11.719,-5.859,-105.469
1866.746,-526.367,23.926,-24.902,-37.109,-346.68
1866.75,-606.934,-176.758,-39.551,-28.32,-311.035
1866.752,-229.98,-29.297,-45.41,-28.809,-244.629
1866.756,-101.562,89.355,-40.039,-13.672,-256.836
1866.76,-494.141,-97.168,-45.41,-9.277,-243.652
1866.764,-723.633,-354.004,-59.082,1.953,-62.988
1866.768,-333.496,-191.895,-51.27,-3.418,-69.824
1866.772,9.277,36.621,-45.898,10.254,-114.746
1866.776,-356.934,-84.473,-61.035,42.48,-110.352
1866.78,-719.238,-374.023,-86.914,42.48,84.961
1866.784,-448.73,-286.621,-95.215,10.742,216.797
1866.787,-45.898,212.402,-91.797,1.465,-190.918
1866.791,-183.105,138.672,-104.492,14.648,-284.18
1866.795,-574.219,-46.875,-109.863,-36.133,-177.246
1866.798,-500.488,22.949,-117.188,-52.246,-243.652
1866.802,-68.848,118.164,-116.699,-6.836,-260.254
1866.806,-39.551,-46.387,-113.281,15.137,-225.586
1866.81,-446.777,-172.363,-119.629,-17.09,-225.098
1866.814,-509.766,-83.008,-125.977,-32.227,-233.887
1866.818,-33.203,-56.641,-124.023,-7.324,-231.445
1866.822,168.457,-141.602,-118.164,-1.953,-37.598
1866.826,-218.262,-346.191,-118.164,-21.484,276.855
1866.829,-492.676,-106.934,-99.609,-28.809,78.613
1866.833,-164.062,168.945,-85.449,3.418,-191.895
1866.837,148.926,-7.812,-90.82,28.32,61.523
1866.841,-179.199,-109.375,-105.957,31.25,122.559
1866.842,-578.125,18.066,-110.84,14.648,-137.207
1866.846,-375,62.988,-93.75,2.93,-154.785
1866.85,67.871,-28.809,-89.355,40.039,-14.16
1866.854,-66.406,-45.41,-100.098,24.414,-30.273
1866.858,-508.789,-21.484,-105.469,-31.25,-240.723
1866.862,-475.098,-76.172,-102.539,-14.648,-251.953
1866.866,-22.949,-174.316,-100.098,9.277,264.648
1866.87,36.133,-171.387,-94.238,27.344,442.383
1866.874,-404.785,63.965,-89.355,25.879,-135.254
1866.877,-485.84,-12.207,-95.703,-2.93,-268.066
1866.881,-72.754,-36.621,-88.379,-5.859,-111.328
1866.885,110.84,122.07,-77.637,11.719,-45.898
1866.889,-215.332,113.281,-79.59,15.625,-125.977
1866.893,-467.285,-92.285,-83.984,5.859,-153.809
1866.897,-155.762,-82.52,-83.496,15.137,-66.406
1866.9,232.422,136.719,-71.777,73.73,-121.094
1866.904,-14.16,83.008,-71.289,75.684,-208.984
1866.908,-424.805,-229.004,-87.402,64.941,-44.922
1866.912,-240.234,-299.316,-82.031,68.359,144.043
1866.916,245.605,76.172,-56.152,66.406,-55.176
1866.92,236.816,155.762,-61.035,93.262,-195.801
1866.924,-219.727,-185.547,-84.961,71.777,-32.227
1866.928,-232.91,-205.078,-84.961,20.996,46.387
1866.932,228.516,48.828,-82.031,45.41,-119.629
1866.933,257.324,25.879,-82.52,67.383,-28.809
1866.937,-200.195,-173.34,-81.055,47.852,64.453
1866.941,-380.371,-206.055,-75.195,29.297,78.125
1866.945,55.176,55.176,-75.195,20.02,-31.738
1866.949,355.469,194.824,-78.125,37.109,-162.598
